imgsize,qubits,filters,kernelsize,stride,numjobs,circuit,time
8,4,1,2,1,16,ry,0.05419040520985921
8,4,2,2,1,16,ry,0.055243603388468426
8,4,3,2,1,16,ry,0.0575066328048706
8,4,1,2,1,16,ry,0.020694596767425535
8,4,2,2,1,16,ry,0.0209747838973999
8,4,3,2,1,16,ry,0.021199874877929688
8,4,4,2,1,16,ry,0.02155604362487793
8,9,1,2,1,16,ry,0.023963029384613036
8,9,1,3,1,16,ry,0.024085841178894042
8,9,2,2,1,16,ry,0.02467628479003906
8,9,2,3,1,16,ry,0.024663865566253662
8,9,3,2,1,16,ry,0.024887943267822267
8,9,3,3,1,16,ry,0.02504655599594116
8,9,4,2,1,16,ry,0.025389556884765626
8,9,4,3,1,16,ry,0.02548341989517212
8,9,5,2,1,16,ry,0.025714106559753418
8,9,5,3,1,16,ry,0.02634687900543213
8,9,6,2,1,16,ry,0.02646352529525757
8,9,6,3,1,16,ry,0.026433367729187012
8,9,7,2,1,16,ry,0.026825141906738282
8,9,7,3,1,16,ry,0.026830148696899415
8,9,8,2,1,16,ry,0.027288668155670166
8,9,8,3,1,16,ry,0.027338433265686034
8,9,9,2,1,16,ry,0.027998859882354735
8,9,9,3,1,16,ry,0.027862811088562013
8,12,1,2,1,16,ry,0.029774792194366455
8,12,1,3,1,16,ry,0.029359252452850343
8,12,2,2,1,16,ry,0.03021726608276367
8,12,2,3,1,16,ry,0.030528488159179686
8,12,3,2,1,16,ry,0.03191552400588989
8,12,3,3,1,16,ry,0.03151320457458496
8,12,4,2,1,16,ry,0.0331006121635437
8,12,4,3,1,16,ry,0.032980213165283205
8,12,5,2,1,16,ry,0.03425707340240478
8,12,5,3,1,16,ry,0.03469011068344116
8,12,6,2,1,16,ry,0.035324816703796384
8,12,6,3,1,16,ry,0.03551771402359009
8,12,7,2,1,16,ry,0.03666053771972656
8,12,7,3,1,16,ry,0.036749439239501955
8,12,8,2,1,16,ry,0.03999321222305298
8,12,8,3,1,16,ry,0.047656831741333006
8,12,9,2,1,16,ry,0.049748938083648685
8,12,9,3,1,16,ry,0.03818906545639038
8,12,10,2,1,16,ry,0.03977776050567627
8,12,10,3,1,16,ry,0.04038102865219116
8,12,11,2,1,16,ry,0.040933871269226076
8,12,11,3,1,16,ry,0.041288464069366454
8,12,12,2,1,16,ry,0.04251297235488891
8,12,12,3,1,16,ry,0.05506233215332031
8,16,1,2,1,16,ry,0.06219104290008545
8,16,1,3,1,16,ry,0.059470505714416505
8,16,1,4,1,16,ry,0.05806320905685425
8,16,2,2,1,16,ry,0.0777113151550293
8,16,2,3,1,16,ry,0.07175321817398071
8,16,2,4,1,16,ry,0.06846611499786377
8,16,3,2,1,16,ry,0.0754648756980896
8,16,3,3,1,16,ry,0.07251774787902832
8,16,3,4,1,16,ry,0.06772897243499756
8,16,4,2,1,16,ry,0.07641799449920654
8,16,4,3,1,16,ry,0.0730286455154419
8,16,4,4,1,16,ry,0.06994682788848877
8,16,5,2,1,16,ry,0.07649496793746949
8,16,5,3,1,16,ry,0.07292896032333374
8,16,5,4,1,16,ry,0.0708237910270691
8,16,6,2,1,16,ry,0.07947078943252564
8,16,6,3,1,16,ry,0.07866194248199462
8,16,6,4,1,16,ry,0.07415077686309815
8,16,7,2,1,16,ry,0.08193939208984374
8,16,7,3,1,16,ry,0.07690704345703125
8,16,7,4,1,16,ry,0.07726994514465332
8,16,8,2,1,16,ry,0.08569803476333618
8,16,8,3,1,16,ry,0.07899710416793823
8,16,8,4,1,16,ry,0.07547402143478393
8,16,9,2,1,16,ry,0.08586631298065185
8,16,9,3,1,16,ry,0.08182788372039795
8,16,9,4,1,16,ry,0.07822835445404053
8,16,10,2,1,16,ry,0.08778910160064697
8,16,10,3,1,16,ry,0.08523384809494018
8,16,10,4,1,16,ry,0.07972024202346802
8,16,11,2,1,16,ry,0.08185623645782471
8,16,11,3,1,16,ry,0.07499077796936035
8,16,11,4,1,16,ry,0.07244836330413819
8,16,12,2,1,16,ry,0.08189582824707031
8,16,12,3,1,16,ry,0.10071565389633179
8,16,12,4,1,16,ry,0.07337745904922485
8,16,13,2,1,16,ry,0.08415245771408081
8,16,13,3,1,16,ry,0.07942906379699707
8,16,13,4,1,16,ry,0.09371612548828125
8,16,14,2,1,16,ry,0.10406831979751587
8,16,14,3,1,16,ry,0.09454441785812379
8,16,14,4,1,16,ry,0.0893394684791565
8,16,15,2,1,16,ry,0.10062036037445068
8,16,15,3,1,16,ry,0.09643829107284546
8,16,15,4,1,16,ry,0.08991940259933472
8,16,16,2,1,16,ry,0.10173511028289794
8,16,16,3,1,16,ry,0.10035604476928711
8,16,16,4,1,16,ry,0.09331127405166625
8,4,1,2,2,16,ry,0.023987770080566406
8,4,2,2,2,16,ry,0.02432544469833374
8,4,3,2,2,16,ry,0.025883488655090332
8,4,4,2,2,16,ry,0.025342252254486084
8,9,1,2,2,16,ry,0.029273154735565184
8,9,1,3,2,16,ry,0.03130953550338745
8,9,2,2,2,16,ry,0.029426705837249757
8,9,2,3,2,16,ry,0.03231123208999634
8,9,3,2,2,16,ry,0.029843602180480957
8,9,3,3,2,16,ry,0.03324774742126465
8,9,4,2,2,16,ry,0.030523452758789062
8,9,4,3,2,16,ry,0.03240311145782471
8,9,5,2,2,16,ry,0.030281560420989992
8,9,5,3,2,16,ry,0.03299515247344971
8,9,6,2,2,16,ry,0.030695314407348632
8,9,6,3,2,16,ry,0.033518257141113283
8,9,7,2,2,16,ry,0.03187360286712646
8,9,7,3,2,16,ry,0.03385122060775757
8,9,8,2,2,16,ry,0.03359834909439087
8,9,8,3,2,16,ry,0.03554284334182739
8,9,9,2,2,16,ry,0.03284585952758789
8,9,9,3,2,16,ry,0.03684314489364624
8,12,1,2,2,16,ry,0.029803011417388916
8,12,1,3,2,16,ry,0.03141698122024536
8,12,2,2,2,16,ry,0.0316162109375
8,12,2,3,2,16,ry,0.03373973846435547
8,12,3,2,2,16,ry,0.032424941062927246
8,12,3,3,2,16,ry,0.03524122476577759
8,12,4,2,2,16,ry,0.033464055061340335
8,12,4,3,2,16,ry,0.03768113136291504
8,12,5,2,2,16,ry,0.03533963680267334
8,12,5,3,2,16,ry,0.038701109886169434
8,12,6,2,2,16,ry,0.0368800687789917
8,12,6,3,2,16,ry,0.03994668960571289
8,12,7,2,2,16,ry,0.03972424268722534
8,12,7,3,2,16,ry,0.04295835018157959
8,12,8,2,2,16,ry,0.04593045234680176
8,12,8,3,2,16,ry,0.049932687282562255
8,12,9,2,2,16,ry,0.04763310432434082
8,12,9,3,2,16,ry,0.04312823534011841
8,12,10,2,2,16,ry,0.04297718763351441
8,12,10,3,2,16,ry,0.04420324563980103
8,12,11,2,2,16,ry,0.04378903150558472
8,12,11,3,2,16,ry,0.04616801023483277
8,12,12,2,2,16,ry,0.044929263591766355
8,12,12,3,2,16,ry,0.04768904447555542
8,16,1,2,2,16,ry,0.04955909013748169
8,16,1,3,2,16,ry,0.05353499889373779
8,16,1,4,2,16,ry,0.0889954161643982
8,16,2,2,2,16,ry,0.04961942195892334
8,16,2,3,2,16,ry,0.05433603763580322
8,16,2,4,2,16,ry,0.07893049716949463
8,16,3,2,2,16,ry,0.051030240058898925
8,16,3,3,2,16,ry,0.05531229734420776
8,16,3,4,2,16,ry,0.08492280006408691
8,16,4,2,2,16,ry,0.05266314268112183
8,16,4,3,2,16,ry,0.05677341222763062
8,16,4,4,2,16,ry,0.08430416107177735
8,16,5,2,2,16,ry,0.06475495100021363
8,16,5,3,2,16,ry,0.05784447193145752
8,16,5,4,2,16,ry,0.08567957639694214
8,16,6,2,2,16,ry,0.05686549663543701
8,16,6,3,2,16,ry,0.06537188053131103
8,16,6,4,2,16,ry,0.10089823007583618
8,16,7,2,2,16,ry,0.07203399896621704
8,16,7,3,2,16,ry,0.07626931190490722
8,16,7,4,2,16,ry,0.09894959688186646
8,16,8,2,2,16,ry,0.07193260431289673
8,16,8,3,2,16,ry,0.07628498554229736
8,16,8,4,2,16,ry,0.09990169048309326
8,16,9,2,2,16,ry,0.07565500020980835
8,16,9,3,2,16,ry,0.06308707475662231
8,16,9,4,2,16,ry,0.09514824867248535
8,16,10,2,2,16,ry,0.06274061918258667
8,16,10,3,2,16,ry,0.06817315816879273
8,16,10,4,2,16,ry,0.10047229766845703
8,16,11,2,2,16,ry,0.07606677770614624
8,16,11,3,2,16,ry,0.07798028469085694
8,16,11,4,2,16,ry,0.10446620702743531
8,16,12,2,2,16,ry,0.07883579492568969
8,16,12,3,2,16,ry,0.06871133804321289
8,16,12,4,2,16,ry,0.10076748609542846
8,16,13,2,2,16,ry,0.06701657295227051
8,16,13,3,2,16,ry,0.07291808128356933
8,16,13,4,2,16,ry,0.10579591512680053
8,16,14,2,2,16,ry,0.0739514446258545
8,16,14,3,2,16,ry,0.07354366064071655
8,16,14,4,2,16,ry,0.10840150117874145
8,16,15,2,2,16,ry,0.07200549602508545
8,16,15,3,2,16,ry,0.07794139862060546
8,16,15,4,2,16,ry,0.1273343563079834
8,16,16,2,2,16,ry,0.07362117052078247
8,16,16,3,2,16,ry,0.07703148126602173
8,16,16,4,2,16,ry,0.1132061767578125
8,4,1,2,3,16,ry,0.02907747745513916
8,4,2,2,3,16,ry,0.029102635383605958
8,4,3,2,3,16,ry,0.02964381694793701
8,4,4,2,3,16,ry,0.029746549129486086
8,9,1,2,3,16,ry,0.035594754219055176
8,9,1,3,3,16,ry,0.03809556245803833
8,9,2,2,3,16,ry,0.03589579820632935
8,9,2,3,3,16,ry,0.03905932188034058
8,9,3,2,3,16,ry,0.0364927339553833
8,9,3,3,3,16,ry,0.04127850294113159
8,9,4,2,3,16,ry,0.04009562015533447
8,9,4,3,3,16,ry,0.04307876348495483
8,9,5,2,3,16,ry,0.04104962110519409
8,9,5,3,3,16,ry,0.04519924640655518
8,9,6,2,3,16,ry,0.04332097053527832
8,9,6,3,3,16,ry,0.042645955085754396
8,9,7,2,3,16,ry,0.03885448217391968
8,9,7,3,3,16,ry,0.04277285575866699
8,9,8,2,3,16,ry,0.040019211769104
8,9,8,3,3,16,ry,0.04274017572402954
8,9,9,2,3,16,ry,0.04048727989196777
8,9,9,3,3,16,ry,0.04358490467071533
8,12,1,2,3,16,ry,0.042539279460906985
8,12,1,3,3,16,ry,0.04547797203063965
8,12,2,2,3,16,ry,0.04429928064346313
8,12,2,3,3,16,ry,0.05143057107925415
8,12,3,2,3,16,ry,0.05018925428390503
8,12,3,3,3,16,ry,0.06343585252761841
8,12,4,2,3,16,ry,0.04964771270751953
8,12,4,3,3,16,ry,0.05197266340255737
8,12,5,2,3,16,ry,0.05049352169036865
8,12,5,3,3,16,ry,0.053283610343933106
8,12,6,2,3,16,ry,0.05242017269134522
8,12,6,3,3,16,ry,0.05561187267303467
8,12,7,2,3,16,ry,0.05470189571380615
8,12,7,3,3,16,ry,0.05721488237380981
8,12,8,2,3,16,ry,0.05635923147201538
8,12,8,3,3,16,ry,0.06047754287719727
8,12,9,2,3,16,ry,0.0578918194770813
8,12,9,3,3,16,ry,0.06263222455978394
8,12,10,2,3,16,ry,0.06092997312545776
8,12,10,3,3,16,ry,0.06400483131408691
8,12,11,2,3,16,ry,0.06227670192718506
8,12,11,3,3,16,ry,0.0659278917312622
8,12,12,2,3,16,ry,0.06474693298339844
8,12,12,3,3,16,ry,0.07416220426559449
8,16,1,2,3,16,ry,0.07185072422027589
8,16,1,3,3,16,ry,0.07657479524612426
